""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000430535.1"	-0.181572542331973	0.257317504702166	-0.80313662779095	0.426905002540983	0.802380173204136	-5.71025099115722	"ENSP00000430535.1"	1	-0.80401898362783	0.426361376958681	0.800431407669116	"SLC36A2"
"ENSP00000393393.1"	-0.0792282074545736	-0.110388318043648	-0.801000557544587	0.428125434814718	0.802942167448521	-5.7118783428528	"ENSP00000393393.1"	3	-0.803901602096982	0.426428346151879	0.800431407669116	"RPL35A"
"ENSP00000432008.1"	0.0711032614199469	0.0106941369722196	0.797074749620235	0.430373923678727	0.804269755164914	-5.71485828994864	"ENSP00000432008.1"	4	0.802619884425537	0.427160014102555	0.801296999222145	"RIC8A"
"ENSP00000338516.8"	0.0738482112150247	0.148804147478356	0.793975688184	0.432153922076286	0.807086959136166	-5.71720070183824	"ENSP00000338516.8"	5	0.800798910791721	0.428200822841572	0.801764025125858	"BTF3"
"ENSP00000369768.4"	-0.0963421376586959	0.106826761031167	-0.79776399976554	0.429978643594438	0.804038347428489	-5.7143361261143	"ENSP00000369768.4"	3	-0.800764697688441	0.428220392602308	0.801764025125858	"HSPH1"
"ENSP00000247665.10"	-0.0556035963134207	0.044150218680191	-0.784527171743536	0.437608139017466	0.813564981246727	-5.72428793279119	"ENSP00000247665.10"	16	-0.800186752317836	0.428551056853503	0.801764025125858	"PHPT1"
"ENSP00000362110.4"	0.0333575207809042	0.0392151807155798	0.820701716023762	0.416949499185435	0.79626346851552	-5.69671073312486	"ENSP00000362110.4"	2	0.79987372527644	0.428730215830358	0.801764025125858	"SF3A3"
"ENSP00000309565.5"	-0.0982750885523635	-0.0801257828001556	-0.7987345606328	0.429422405702682	0.803505474220686	-5.71360010775966	"ENSP00000309565.5"	2	-0.799297622330636	0.429060062926325	0.801764025125858	"UQCRH"
"ENSP00000328023.5"	-0.0703811307086241	-0.065046431187897	-0.793334559164422	0.432522718273738	0.807257579569665	-5.71768419672678	"ENSP00000328023.5"	4	-0.798879349500053	0.429299640646226	0.801764025125858	"SRPRA"
"ENSP00000300141.6"	-0.0682656147847374	-0.061455848768358	-0.812365862811736	0.42165621753178	0.799167846410533	-5.70317172349635	"ENSP00000300141.6"	1	-0.798783532145712	0.429354534152163	0.801764025125858	"DPP8"
"ENSP00000277165.5"	-0.0429922317780665	-0.0792317801428944	-0.809137386253454	0.42348780305928	0.799981423891318	-5.70565698871359	"ENSP00000277165.5"	2	-0.798222597797208	0.429675977015646	0.801764025125858	"FAM120A"
