	source	target	category	correlation	pvalue	padj
3965209	ENSG00000163938	ENSG00000143420	115	0.7646229739252995	1.528472680750188e-09	4.541269744878996e-07
3965308	ENSG00000163938	ENSG00000147224	115	0.772938689217759	7.84756430085084e-10	2.714841849750765e-07
3965316	ENSG00000163938	ENSG00000147454	115	0.6373502466525722	3.281918541910824e-06	0.0001576438275762
3965409	ENSG00000163938	ENSG00000152795	115	0.8303030303030302	3.164383502305145e-12	3.596962643476082e-09
4393497	ENSG00000167721	ENSP00000377770.1	115	-0.6662438336856942	7.961587976333151e-07	5.381490130449286e-05
4393501	ENSG00000167721	ENSP00000418842.3	115	-0.5912614517265681	2.3772710508127626e-05	0.0007050915333776
4393505	ENSG00000167721	ENSP00000496880.1	115	-0.5928118393234673	2.2350523561508077e-05	0.0006729598849604
4393513	ENSG00000167721	ENSP00000266544.5	115	-0.6133897110641297	9.55337658106848e-06	0.0003539572620939
4393522	ENSG00000167721	ENSP00000268668.6	115	-0.6142353770260747	9.213577685677751e-06	0.0003444424105903
4393531	ENSG00000167721	ENSP00000359346.1	115	-0.6124031007751938	9.964359459959e-06	0.0003654519954886
4393536	ENSG00000167721	ENSP00000297564.2	115	-0.6155038759689923	8.72468212031579e-06	0.0003305316456524
4393539	ENSG00000167721	ENSP00000292907.3	115	-0.536293164200141	0.000175223711835	0.0031788370308537
4393540	ENSG00000167721	ENSP00000330737.2	115	-0.564200140944327	6.642824393034777e-05	0.0015318547044762
4393544	ENSG00000167721	ENSP00000296684.5	115	-0.632276250880902	4.146413016411076e-06	0.0001881908906549
4393547	ENSG00000167721	ENSP00000419656.1	115	-0.6146582100070472	9.04788076967273e-06	0.0003397685733623
4393550	ENSG00000167721	ENSP00000263774.4	115	-0.6042283298097252	1.4049808499347548e-05	0.0004738412877107
4393553	ENSG00000167721	ENSP00000419578.1	115	-0.6394644115574348	2.973538662359306e-06	0.0001462820615918
4393559	ENSG00000167721	ENSP00000397760.1	115	-0.6383368569415081	3.1345081756287974e-06	0.0001522492684929
4393560	ENSG00000167721	ENSP00000252711.2	115	-0.6632840028188866	9.269701438969522e-07	6.0415721241943065e-05
4393565	ENSG00000167721	ENSP00000281031.4	115	-0.6140944326990838	9.269427347432398e-06	0.0003460220295233
4393570	ENSG00000167721	ENSP00000423673.1	115	-0.5990133897110641	1.740710128225286e-05	0.0005570576549562
4393599	ENSG00000167721	ENSP00000492163.1	115	-0.6369274136715997	3.3470325265765634e-06	0.0001600098471206
4393636	ENSG00000167721	ENSP00000238688.5	115	-0.6380549682875265	3.1759888716634874e-06	0.0001537701727943
4393640	ENSG00000167721	ENSP00000253452.2	115	-0.6167723749119098	8.25975930398732e-06	0.0003171277728461
4393662	ENSG00000167721	ENSP00000358737.3	115	-0.6248062015503876	5.806302984456753e-06	0.0002427958010401
4393671	ENSG00000167721	ENSP00000256441.4	115	-0.5601127554615927	7.698639342755652e-05	0.0017119331142035
4393685	ENSG00000167721	ENSP00000301729.4	115	-0.694291754756871	1.7232184817491805e-07	1.686383728609082e-05
4393689	ENSG00000167721	ENSP00000356972.3	115	-0.5823819591261452	3.364297717047613e-05	0.0009164789531025
4393693	ENSG00000167721	ENSP00000260665.7	115	-0.6692036645525018	6.82643759432048e-07	4.786950875309771e-05
4393722	ENSG00000167721	ENSP00000381785.3	115	-0.7136011275546159	5.416456564241466e-08	6.980946188921383e-06
4393733	ENSG00000167721	ENSP00000355518.4	115	-0.6333434007852613	5.160246056969866e-06	0.0002222031967386
4393752	ENSG00000167721	ENSP00000155674.5	115	-0.6064834390415785	1.2791438222438018e-05	0.0004414319068211
4393764	ENSG00000167721	ENSP00000377446.2	115	-0.5974630021141649	1.853866196420457e-05	0.0005841829949932
4393772	ENSG00000167721	ENSP00000216254.4	115	-0.6310077519379845	4.393139935602131e-06	0.0001966164834827
4394318	ENSG00000167721	ENSG00000064607	115	0.7233262861169838	2.916420262015757e-08	4.35471723683946e-06
4394564	ENSG00000167721	ENSG00000090863	115	0.752783650458069	3.773266555721342e-09	9.10059619062521e-07
4394623	ENSG00000167721	ENSG00000100227	115	0.6224101479915433	6.456525850933231e-06	0.0002631616972886
4394637	ENSG00000167721	ENSG00000100485	115	0.8432699083861874	6.81406148160073e-13	1.0539477861887175e-09
4394837	ENSG00000167721	ENSG00000107758	115	0.7525017618040875	3.852960648585765e-09	9.249654499753838e-07
4395084	ENSG00000167721	ENSG00000115307	115	0.7079633544749824	7.666737955158315e-08	9.099933981441522e-06
4395330	ENSG00000167721	ENSG00000124222	115	0.73615221987315	1.237474699690964e-08	2.2610578763671065e-06
4395493	ENSG00000167721	ENSG00000132155	115	0.7464411557434814	5.999136956329799e-09	1.2990351688697483e-06
4395504	ENSG00000167721	ENSG00000132429	115	0.7417899929527836	8.357122090273538e-09	1.6743903457818811e-06
4395790	ENSG00000167721	ENSG00000140391	115	0.7874559548978154	2.2856785169942494e-10	1.0419617348677986e-07
4395874	ENSG00000167721	ENSG00000143420	115	0.8177589852008458	1.2421412258316238e-11	1.0583454392040516e-08
4395972	ENSG00000167721	ENSG00000147224	115	0.7102184637068357	6.678472404885108e-08	8.193814218302807e-06
4395978	ENSG00000167721	ENSG00000147454	115	0.7229034531360112	2.9975980130891594e-08	4.445944486534222e-06
4396078	ENSG00000167721	ENSG00000152795	115	0.6675123326286118	7.455212604508767e-07	5.1191912747117496e-05
4396350	ENSG00000167721	ENSG00000163938	115	0.7577167019027484	2.605519303687299e-09	6.848379870128754e-07
4665317	ENSG00000170144	ENSP00000377770.1	115	-0.5735024665257223	4.7138010829652e-05	0.0011825656487344
4665321	ENSG00000170144	ENSP00000418842.3	115	-0.5424947145877379	0.0001422899604806	0.0027183504734715
4665323	ENSG00000170144	ENSP00000496880.1	115	-0.5496828752642706	0.000111207806531	0.0022581402186916
4665331	ENSG00000170144	ENSP00000266544.5	115	-0.5722339675828048	4.9425636316649154e-05	0.0012257166774072
4665340	ENSG00000170144	ENSP00000268668.6	115	-0.564200140944327	6.642824393034777e-05	0.0015318547044762
4665348	ENSG00000170144	ENSP00000359346.1	115	-0.563213530655391	6.884825646672462e-05	0.0015737500426221
4665353	ENSG00000170144	ENSP00000297564.2	115	-0.545031712473573	0.000130518817978	0.0025477495994921
4665355	ENSG00000170144	ENSP00000292907.3	115	-0.5485553206483439	0.0001156344109682	0.0023258435766637
4665356	ENSG00000170144	ENSP00000330737.2	115	-0.5667371388301621	6.0557064082078365e-05	0.0014285529439717
4665360	ENSG00000170144	ENSP00000296684.5	115	-0.5995771670190275	1.701159167083358e-05	0.0005474808412329
4665363	ENSG00000170144	ENSP00000419656.1	115	-0.5512332628611699	0.00010537250188	0.0021681835357037
4665366	ENSG00000170144	ENSP00000263774.4	115	-0.5409443269908386	0.0001499492969919	0.0028276708432109
4665369	ENSG00000170144	ENSP00000419578.1	115	-0.5673009161381255	5.931839626981154e-05	0.0014065884517352
4665375	ENSG00000170144	ENSP00000397760.1	115	-0.5684284707540521	5.6910114594999616e-05	0.0013632805843704
4665376	ENSG00000170144	ENSP00000252711.2	115	-0.6056377730796335	1.325066033195362e-05	0.0004533549098026
